Model,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.053035143769968054,0.8736842105263158,0.1,0.9626184886409772
Random Forest,0.9125,0.7684210526315789,0.8342857142857143,0.9694220104815354
